A_node_name	B_node_name	Source_db_1	Int_type_1	Source_db_2	Int_type_2
uniprot:P01112	uniprot:P04049	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P36897	uniprot:Q15796	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P21860	uniprot:P27986	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P98082	uniprot:Q92997	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P10275	uniprot:P03372	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P45983	uniprot:P05412	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P62877	uniprot:Q13618	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q16539	uniprot:Q06413	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P84022	uniprot:P46531	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P36897	uniprot:P37023	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O15105	uniprot:P37023	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P31751	uniprot:Q12778	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P98082	uniprot:O14641	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O15169	uniprot:P35222	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O15105	uniprot:P36897	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P18075	uniprot:Q13873	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P22681	uniprot:P16234	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P22681	uniprot:P00533	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P84022	uniprot:Q9UJU2	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P84022	uniprot:Q06413	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q13485	uniprot:P16220	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q13873	uniprot:Q04771	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P36897	uniprot:Q9H2X6	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:2246(indirect)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P19793	uniprot:P03372	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q9NZC7	uniprot:Q13485	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P08887	uniprot:P40189	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q9HCE7	uniprot:O43541	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:2246(indirect)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P27361	uniprot:Q15797	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q96J02	uniprot:O15105	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P10276	uniprot:P03372	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P01137	uniprot:P37173	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q06124	uniprot:O60674	effect:unknown|is_directed:directed|is_direct:MI:2246(indirect)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P37173	uniprot:P36897	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q06124	uniprot:P42224	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q15797	uniprot:Q13485	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O43541	uniprot:P84022	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P03372	uniprot:P84022	effect:unknown|is_directed:directed|is_direct:MI:2246(indirect)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P63000	uniprot:Q13177	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P15056	uniprot:Q9BXM7	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P49407	uniprot:P28482	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P61812	uniprot:P37173	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P40189	uniprot:P40763	effect:unknown|is_directed:directed|is_direct:MI:2246(indirect)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P17612	uniprot:P49841	effect:unknown|is_directed:directed|is_direct:MI:2246(indirect)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O15105	uniprot:Q04771	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P40189	uniprot:O60674	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P28482	uniprot:Q02750	effect:unknown|is_directed:directed|is_direct:MI:2246(indirect)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O43639	uniprot:Q05397	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q16539	uniprot:P15336	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P10912	uniprot:O60674	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P28482	uniprot:Q15796	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q9HCE7	uniprot:O15105	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P28482	uniprot:P84022	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P31751	uniprot:O43524	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P05230	uniprot:P21802	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O15169	uniprot:P84022	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P12643	uniprot:Q13873	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q13485	uniprot:Q9UJU2	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O15530	uniprot:P31749	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P46531	uniprot:Q06330	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O15530	uniprot:P31751	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P10275	uniprot:Q13285	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P05019	uniprot:P08069	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P29590	uniprot:Q15796	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P28482	uniprot:P04049	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P60484	uniprot:O15530	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P17706	uniprot:P42224	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q96EB6	uniprot:O15105	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P36897	uniprot:P60953	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P01127	uniprot:P16234	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P10600	uniprot:P37173	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
