A_node_name	B_node_name	Int_type_1	Source_db
uniprot:P43403	uniprot:P43403	0217(phosphorylation reaction)	signor
uniprot:P43403	uniprot:P43403	2236(up-regulates activity)	signor
uniprot:P43403	uniprot:P43403	0217(phosphorylation reaction)	signor
uniprot:P43403	uniprot:P43403	2240(down-regulates)	signor
uniprot:P12931	uniprot:O15530	0217(phosphorylation reaction)	signor
uniprot:P12931	uniprot:O15530	2235(up-regulates)	signor
uniprot:P12931	uniprot:O15530	0217(phosphorylation reaction)	signor
uniprot:P12931	uniprot:O15530	2236(up-regulates activity)	signor
uniprot:P41221	uniprot:O75581	0462(bind)	signor
uniprot:P41221	uniprot:O75581	2236(up-regulates activity)	signor
uniprot:Q13490	uniprot:Q12933	0220(ubiquitination reaction)	signor
uniprot:Q13490	uniprot:Q12933	2244(down-regulates quantity by destabilization)	signor
uniprot:Q9HCE7	uniprot:Q13873	0220(ubiquitination reaction)	signor
uniprot:Q9HCE7	uniprot:Q13873	2240(down-regulates)	signor
uniprot:P04637	uniprot:P25445	2247(transcriptional regulation)	signor
uniprot:P04637	uniprot:P25445	2238(up-regulates quantity by expression)	signor
uniprot:O15530	uniprot:O00141	0217(phosphorylation reaction)	signor
uniprot:O15530	uniprot:O00141	2235(up-regulates)	signor
uniprot:Q12933	uniprot:Q13546	0220(ubiquitination reaction)	signor
uniprot:Q12933	uniprot:Q13546	2236(up-regulates activity)	signor
uniprot:P06239	uniprot:P06239	0217(phosphorylation reaction)	signor
uniprot:P06239	uniprot:P06239	2236(up-regulates activity)	signor
uniprot:P12931	uniprot:P12931	0217(phosphorylation reaction)	signor
uniprot:P12931	uniprot:P12931	2235(up-regulates)	signor
uniprot:P12931	uniprot:P12931	0217(phosphorylation reaction)	signor
uniprot:P12931	uniprot:P12931	2241(down-regulates activity)	signor
uniprot:Q06124	uniprot:P42224	0203(dephosphorylation reaction)	signor
uniprot:Q06124	uniprot:P42224	2241(down-regulates activity)	signor
uniprot:P45983	uniprot:O43521	0217(phosphorylation reaction)	signor
uniprot:P45983	uniprot:O43521	2240(down-regulates)	signor
uniprot:P45983	uniprot:O43521	0217(phosphorylation reaction)	signor
uniprot:P45983	uniprot:O43521	2235(up-regulates)	signor
uniprot:Q9HCE7	uniprot:P36897	0220(ubiquitination reaction)	signor
uniprot:Q9HCE7	uniprot:P36897	2241(down-regulates activity)	signor
uniprot:P45983	uniprot:Q07812	unknown	signor
uniprot:P45983	uniprot:Q07812	2235(up-regulates)	signor
uniprot:Q9HCE7	uniprot:O43541	2256(relocalization reaction)	signor
uniprot:Q9HCE7	uniprot:O43541	2241(down-regulates activity)	signor
uniprot:P00533	uniprot:P16333	unknown	signor
uniprot:P00533	uniprot:P16333	2235(up-regulates)	signor
uniprot:P01137	uniprot:P01137	0462(bind)	signor
uniprot:P01137	uniprot:P01137	2236(up-regulates activity)	signor
uniprot:Q16539	uniprot:P42224	0217(phosphorylation reaction)	signor
uniprot:Q16539	uniprot:P42224	2236(up-regulates activity)	signor
uniprot:P01112	uniprot:P15056	0462(bind)	signor
